player,team,position,league,gls_p90_pct,ast_p90_pct,weight_source,league_strength
Ayase Ueda,Japan,FWD,NED-Eredivisie,0.9523809523809523,0.2857142857142857,fbref,0.8531011969532101
Diego González,Paraguay,MID,ARG-Primera Division,0.7874015748031497,0.5708661417322834,fbref,0.8781284004352556
Kieran Tierney,Scotland,DEF,SCO-Premiership,0.9607843137254902,1.0,fbref,0.823721436343852
Gonçalo Inácio,Portugal,DEF,POR-Primeira Liga,0.7142857142857143,0.8511904761904762,fbref,0.8857453754080522
Edo Kayembe,Congo DR,MID,ENG2-EFL Championship,0.23809523809523808,0.21428571428571427,fbref,0.884657236126224
Marwane Saadane,Morocco,MID,SAU-Saudi Pro League,0.30952380952380953,0.47619047619047616,fbref,0.8193688792165397
Matheus Cunha,Brazil,FWD,ENG-Premier League,0.9,0.3333333333333333,fbref,1.0
Marko Stamenic,New Zealand,MID,ENG2-EFL Championship,0.5628930817610063,0.39308176100628933,fbref,0.884657236126224
Lukás Provod,Czechia,MID,CZE-First League,0.6290322580645161,1.0,fbref,0.8400435255712732
Lawrence Shankland,Scotland,FWD,SCO-Premiership,0.8888888888888888,0.6111111111111112,fbref,0.823721436343852
Renato Veiga,Portugal,DEF,ESP-La Liga,0.24761904761904763,0.22857142857142856,fbref,0.942328618063112
Orkun Kökçü,Türkiye,MID,TUR-Super Lig,0.9213483146067416,0.898876404494382,fbref,0.8563656147986942
Orbelín Pineda,Mexico,MID,GRE-Super League,0.7923076923076923,0.49230769230769234,fbref,0.8411316648531011
Yan Diomande,Côte d'Ivoire,FWD,GER-Bundesliga,0.8235294117647058,1.0,fbref,0.9412404787812839
Chris Brady,USA,GK,USA-MLS,0.0,0.0,gk_neutral,0.8531011969532101
Kristian Thorstvedt,Norway,MID,ITA-Serie A,0.7476635514018691,0.8084112149532711,fbref,0.9357997823721436
Steven Moreira,Cabo Verde,DEF,USA-MLS,0.5902255639097744,0.7556390977443609,fbref,0.8531011969532101
Manu Koné,France,MID,ITA-Serie A,0.42990654205607476,0.6542056074766355,fbref,0.9357997823721436
Daniel Svensson,Sweden,DEF,GER-Bundesliga,0.32222222222222224,0.3611111111111111,fbref,0.9412404787812839
Bruno Guimarães,Brazil,MID,ENG-Premier League,0.9439252336448598,0.7757009345794392,fbref,1.0
Alexander Freeman,USA,DEF,USA-MLS,1.0,0.8759398496240601,fbref,0.8531011969532101
Brenden Aaronson,USA,MID,ENG-Premier League,0.36666666666666664,0.7333333333333333,fbref,1.0
Luis Díaz,Colombia,MID,GER-Bundesliga,0.9666666666666667,0.9777777777777777,fbref,0.9412404787812839
