player,team,position,default_xmins
Kento Shiogai,Japan,FWD,0.0
Zion Suzuki,Japan,GK,85.0
Keisuke Osako,Japan,GK,5.0
Tomoki Hayakawa,Japan,GK,0.0
Yuito Suzuki,Japan,MID,9.35
Ao Tanaka,Japan,MID,41.22
Daichi Kamada,Japan,MID,60.76
Ritsu Doan,Japan,DEF,64.47
Ibrahim Sadeh,Jordan,MID,22.67
Mohammad Al Daoud,Jordan,MID,0.13
Noor Al Rawabdeh,Jordan,MID,76.54
Nizar Al Rashdan,Jordan,MID,79.23
Yazan Al Arab,Jordan,DEF,86.13
Abdallah Nasib,Jordan,DEF,86.18
Mohannad Abu Taha,Jordan,DEF,65.57
Mohammad Abu Hasheesh,Jordan,DEF,29.22
Husam Abu Al Dahab,Jordan,DEF,15.24
Mohammad Abu Ghoush,Jordan,DEF,0.13
Saleem Obaid,Jordan,DEF,8.1
Mohammad Abu Al Nadi,Jordan,DEF,73.8
Amer Jamous,Jordan,DEF,17.12
Mousa Al Tamari,Jordan,FWD,78.57
Mohammad Abu Zraiq,Jordan,FWD,0.13
Mahmoud Al Mardi,Jordan,FWD,71.55
Ali Azaizeh,Jordan,FWD,0.13
Odeh Fakhoury,Jordan,FWD,0.13
Yazeed  Abulaila,Jordan,GK,84.94
Abdallah Al Fakhouri,Jordan,GK,2.25
Park Jin-Seob,Korea Republic,MID,10.85
Kim Jin-Gyu,Korea Republic,MID,10.79
Kim Min-Jae,Korea Republic,DEF,90.0
Seol Young-Woo,Korea Republic,DEF,82.87
Kim Moon-Hwan,Korea Republic,DEF,13.67
Lee Han-Beom,Korea Republic,DEF,13.6
Lee Tae-Seok,Korea Republic,DEF,31.29
Kim Tae-Hyeon,Korea Republic,DEF,7.98
Son Heung-Min,Korea Republic,FWD,87.92
Hwang Hee-Chan,Korea Republic,FWD,69.1
Cho Gue-Sung,Korea Republic,FWD,20.92
Oh Hyeon-Gyu,Korea Republic,FWD,51.91
Yang Hyun-Jun,Korea Republic,FWD,9.35
Eom Ji-Sung,Korea Republic,FWD,9.85
Jo Hyeon-Woo,Korea Republic,GK,90.0
Kim Seung-Gyu,Korea Republic,GK,12.15
Song Bum-Keun,Korea Republic,GK,7.98
Paik Seung-Ho,Korea Republic,MID,19.79
Jens Castrop,Korea Republic,MID,7.98
Bae Jun-Ho,Korea Republic,MID,56.98
Lee Kang-In,Korea Republic,MID,84.13
Lee Jae-Sung,Korea Republic,MID,76.08
Obed Vargas,Mexico,MID,0.3
Johan Vásquez,Mexico,DEF,81.75
César Montes,Mexico,DEF,79.99
Jesús Gallardo,Mexico,DEF,73.24
Jorge Sánchez,Mexico,DEF,26.36
Israel Reyes,Mexico,DEF,65.49
Raúl Jiménez,Mexico,FWD,74.99
Julián Quiñones,Mexico,FWD,16.81
Alexis Vega,Mexico,FWD,27.46
Roberto Alvarado,Mexico,FWD,75.28
Guillermo Martínez,Mexico,FWD,0.3
Armando González,Mexico,FWD,0.3
Guillermo Ochoa,Mexico,GK,0.3
Carlos Acevedo,Mexico,GK,0.3
Raúl Rangel,Mexico,GK,85.7
Brian Gutiérrez,Mexico,MID,72.43
Érik Lira,Mexico,MID,70.96
Orbelín Pineda,Mexico,MID,10.1
Álvaro Fidalgo,Mexico,MID,72.43
Samir El Mourabet,Morocco,MID,0.19
Anass Salah-Eddine,Morocco,DEF,12.45
Ayoub El Kaabi,Morocco,FWD,42.54
Gessime Yassine,Morocco,FWD,0.19
Ismael Saibari,Morocco,MID,68.94
Denzel Dumfries,Netherlands,DEF,83.86
Virgil van Dijk,Netherlands,DEF,86.91
Micky van de Ven,Netherlands,DEF,66.04
Nathan Aké,Netherlands,DEF,24.51
Jan Paul van Hecke,Netherlands,DEF,67.25
Jorrel Hato,Netherlands,DEF,9.0
Cody Gakpo,Netherlands,FWD,77.87
Donyell Malen,Netherlands,FWD,56.93
Noa Lang,Netherlands,FWD,6.74
Brian Brobbey,Netherlands,FWD,8.23
Wout Weghorst,Netherlands,FWD,14.75
Bart Verbruggen,Netherlands,GK,87.14
Mark Flekken,Netherlands,GK,2.86
Ryan Gravenberch,Netherlands,MID,74.73
Teun Koopmeiners,Netherlands,MID,4.45
Tijjani Reijnders,Netherlands,MID,75.28
Quinten Timber,Netherlands,MID,11.12
Callum McCowatt,New Zealand,MID,29.24
Alex Rufer,New Zealand,MID,29.98
Joe Bell,New Zealand,MID,74.89
Ryan Thomas,New Zealand,MID,0.0
Marko Stamenic,New Zealand,MID,79.6
Tyler Bindon,New Zealand,DEF,81.67
Francis de Vries,New Zealand,DEF,22.97
Tim Payne,New Zealand,DEF,76.88
Callan Elliot,New Zealand,DEF,0.0
Finn Surman,New Zealand,DEF,13.43
Kosta Barbarouses,New Zealand,FWD,14.77
Elijah Just,New Zealand,MID,61.3
Ben Waine,New Zealand,FWD,14.77
Ben Old,New Zealand,FWD,10.59
Jesse Randall,New Zealand,FWD,0.0
Lachlan Bayliss,New Zealand,MID,0.0
Max Crocombe,New Zealand,GK,81.67
Alex Paulsen,New Zealand,GK,8.33
Michael Woud,New Zealand,GK,0.0
Sander Berge,Norway,MID,82.83
Oscar Bobb,Norway,MID,11.11
Morten Thorsby,Norway,MID,16.07
Patrick Berg,Norway,MID,22.05
Kristoffer Ajer,Norway,DEF,83.54
Julian Ryerson,Norway,DEF,84.13
Marcus Pedersen,Norway,DEF,9.84
Leo Østigård,Norway,DEF,16.33
David Møller Wolfe,Norway,DEF,82.13
Fredrik Bjørkan,Norway,DEF,0.9
Torbjørn Heggem,Norway,DEF,74.65
