player,team,position,matched_club,matched_intl,club_suggestion,club_score,intl_suggestion,intl_score
Keisuke Goto,Japan,FWD,True,False,Keisuke Goto,100.0,Keisuke Ōsako,80.0
Kento Shiogai,Japan,FWD,True,False,Kento Shiogai,100.0,,
Tomoki Hayakawa,Japan,GK,True,False,Tomoki Hayakawa,100.0,,
Yousef Qashi,Jordan,MID,False,False,,,Yousef Abu Al Jazar,85.5
Ibrahim Sadeh,Jordan,MID,False,True,Ibrahim Sabra,76.9,Ibrahim Sa'deh,100.0
Mohammad Al Daoud,Jordan,MID,False,False,,,Mohammad Al-Dawud,88.2
Noor Al Rawabdeh,Jordan,MID,False,True,,,Noor Al Rawabdeh,100.0
Nizar Al Rashdan,Jordan,MID,False,True,,,Nizar Al Rashdan,100.0
Yazan Al Arab,Jordan,DEF,False,False,Yazan Al-Arab,92.3,Yazan Al-Arab,92.3
Abdallah Nasib,Jordan,DEF,False,True,,,Abdallah Nasib,100.0
Mohannad Abu Taha,Jordan,DEF,False,True,,,Mohannad Abu Taha,100.0
Mohammad Abu Hasheesh,Jordan,DEF,False,True,,,Mohammad Abu Hasheesh,100.0
Husam Abu Al Dahab,Jordan,DEF,False,False,,,Husam Abu Dahab,95.0
Mohammad Taha,Jordan,DEF,False,False,,,Mohammad Abu Hasheesh,85.5
Ahmad Assaf,Jordan,DEF,False,False,,,Ahmad Ersan,72.7
Saleem Obaid,Jordan,DEF,False,True,,,Saleem Obaid,100.0
Mohammad Abu Al Nadi,Jordan,DEF,False,True,,,Mohammad Abu Al Nadi,100.0
Amer Jamous,Jordan,DEF,False,True,,,Amer Jamous,100.0
Mohammad Abu Zraiq,Jordan,FWD,False,False,,,Mohammad Aburiziq,85.7
Mahmoud Al Mardi,Jordan,FWD,False,False,,,Mahmoud Al-Mardi,93.8
Ali Azaizeh,Jordan,FWD,True,False,Ali Azaizeh,100.0,,
Odeh Fakhoury,Jordan,FWD,False,False,,,,
Yazeed  Abulaila,Jordan,GK,False,False,,,Yazeed Abulaila,96.8
Abdallah Al Fakhouri,Jordan,GK,False,False,,,Abdallah Al Fakhori,97.4
Park Jin-Seob,Korea Republic,MID,False,False,Park Jinseob,96.0,Park Jinseob,96.0
Kim Jin-Gyu,Korea Republic,MID,False,False,Kim Jin-kyu,90.9,Kim Jin-kyu,90.9
Seol Young-Woo,Korea Republic,DEF,False,True,Cho Youngwook,74.1,Seol Young-woo,100.0
Cho Yu-Min,Korea Republic,DEF,False,False,Choi Jun,66.7,Cho Yumin,94.7
Kim Moon-Hwan,Korea Republic,DEF,False,False,Kim Moonhwan,96.0,Kim Moonhwan,96.0
Lee Han-Beom,Korea Republic,DEF,False,False,Rim Lee,85.5,Lee Hanbeom,95.7
Lee Tae-Seok,Korea Republic,DEF,False,False,Lee Taeseok,95.7,Lee Taeseok,95.7
Kim Tae-Hyeon,Korea Republic,DEF,False,False,Kim Taehyeon,96.0,Kim Tae-hwan,80.0
Cho Gue-Sung,Korea Republic,FWD,False,True,Choi Sungbum,66.7,Cho Gue-sung,100.0
Yang Hyun-Jun,Korea Republic,FWD,False,False,Yang Hyunjun,96.0,Yang Hyunjun,96.0
Eom Ji-Sung,Korea Republic,FWD,False,False,Eom Jisung,95.2,Eom Jisung,95.2
Song Bum-Keun,Korea Republic,GK,False,False,Song Bumkeun,96.0,Song Minkyu,66.7
Jens Castrop,Korea Republic,MID,False,False,Castrop Jens,95.0,,
Bae Jun-Ho,Korea Republic,MID,False,False,Bae Junho,94.7,Bae Junho,94.7
Obed Vargas,Mexico,MID,True,False,Obed Vargas,100.0,,
César Montes,Mexico,DEF,False,True,Cesar Ramos,78.3,César Montes,100.0
Jesús Angulo,Mexico,DEF,True,False,Jesús Angulo,100.0,Jesús Gallardo,69.2
Richard Ledezma,Mexico,DEF,False,False,Richy Ledezma,85.7,,
Everardo López,Mexico,DEF,False,False,Carlos Villanueva López,85.5,,
Germán Berterame,Mexico,FWD,True,False,Germán Berterame,100.0,,
Guillermo Martínez,Mexico,FWD,False,False,Guillermo Martínez Ayala,95.0,Guillermo Martínez Ayala,95.0
Armando González,Mexico,FWD,True,False,Armando González,100.0,Julio José González,63.3
Guillermo Ochoa,Mexico,GK,False,False,Guillermo Martínez Ayala,85.5,Guillermo Martínez Ayala,85.5
Carlos Acevedo,Mexico,GK,True,False,Carlos Acevedo,100.0,,
Raúl Rangel,Mexico,GK,False,False,José Rangel Aguilar,85.5,Luis Ángel Malagón,66.5
Brian Gutiérrez,Mexico,MID,True,False,Brian Gutiérrez,100.0,,
