Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,confederation
625,Ozan Kabak,DF,Türkiye,25,2000,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
626,Ferdi Kadioglu,"DF,MF",Türkiye,26,1999,8,5,455,5.1,1,0,1,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,Matches,UEFA
627,İrfan Kahveci,MF,Türkiye,30,1995,4,1,102,1.1,1,0,1,1,0,0,1,0,0.88,0.0,0.88,0.88,0.88,Matches,UEFA
640,Harry Kane,FW,England,32,1993,8,8,679,7.5,8,0,8,7,1,1,0,0,1.06,0.0,1.06,0.93,0.93,Matches,UEFA
642,N'Golo Kanté,MF,France,34,1991,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,Matches,UEFA
645,Adam Karabec,MF,Czechia,22,2003,3,1,173,1.9,2,0,2,2,0,0,0,0,1.04,0.0,1.04,1.04,1.04,Matches,UEFA
648,Atakan Karazor,MF,Türkiye,29,1996,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
650,Emir Karic,DF,Bosnia-Herzegovina,28,1997,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
651,Jesper Karlström,MF,Sweden,30,1995,4,4,312,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
660,Nikola Katić,DF,Bosnia-Herzegovina,29,1996,7,6,612,6.8,1,0,1,1,0,0,3,0,0.15,0.0,0.15,0.15,0.15,Matches,UEFA
674,Joshua Kimmich,"DF,MF",Germany,30,1995,5,5,423,4.7,2,1,3,1,1,1,0,0,0.43,0.21,0.64,0.21,0.43,Matches,UEFA
680,Jan Kliment,"FW,MF",Czechia,32,1993,2,0,46,0.5,1,0,1,1,0,0,0,0,1.96,0.0,1.96,1.96,1.96,Matches,UEFA
681,Justin Kluivert,MF,Netherlands,26,1999,6,3,279,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
684,Gregor Kobel,GK,Switzerland,28,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
685,Robin Koch,DF,Germany,29,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
687,Orkun Kökçü,MF,Türkiye,25,2000,7,3,374,4.2,0,2,2,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,Matches,UEFA
689,Sead Kolašinac,DF,Bosnia-Herzegovina,32,1993,4,4,286,3.2,0,1,1,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,Matches,UEFA
691,Ibrahima Konaté,DF,France,26,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
692,Manu Koné,MF,France,24,2001,4,4,349,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
694,Ezri Konsa,DF,England,28,1997,7,6,555,6.2,1,0,1,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,Matches,UEFA
699,Eman Košpo,DF,Bosnia-Herzegovina,18,2007,1,0,15,0.2,0,1,1,0,0,0,0,0,0.0,6.0,6.0,0.0,6.0,Matches,UEFA
706,Dominik Kotarski,GK,Croatia,25,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
709,Jules Koundé,DF,France,27,1998,4,4,329,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
713,Mateo Kovačić,MF,Croatia,31,1994,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
714,Matej Kovar,GK,Czechia,25,2000,9,9,870,9.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
717,Emil Krafth,DF,Sweden,31,1994,2,1,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
718,Alex Král,MF,Czechia,27,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
719,Andrej Kramarić,MF,Croatia,34,1991,8,5,521,5.8,6,1,7,6,0,0,1,0,1.04,0.17,1.21,1.04,1.21,Matches,UEFA
